domain,count
Jewish_Internet_Defense_Force,15
Minnesota_Transracial_Adoption_Study,11
Hjernevask,9
Naturalization_Act_of_1790,9
List_of_countries_by_intentional_homicide_rate,7
Immigration_and_Nationality_Act_of_1965,7
Samson_Option,7
Frankfurt_School,6
German_Revolution_of_1918%E2%80%9319,5
Haavara_Agreement,5
Category:Feminists_by_religion,5
Robert_D._Putnam,5
Robert_D._Putnam#Diversity_and_trust_within_communities,5
Human_Development_Index,4
List_of_black_Nobel_laureates,4
White_genocide_conspiracy_theory,4
Burr%E2%80%93Hamilton_duel,4
Heritability_of_IQ,4
Ashkenazi_Jewish_intelligence,4
Majority_minority#Cities,3
List_of_countries_ranked_by_ethnic_and_cultural_diversity_level,3
Animal_welfare_in_Nazi_Germany,3
Immigration_Act_of_1924,3
Human_Development_Index#2015_Human_Development_Report,3
Historical_racial_and_ethnic_demographics_of_the_United_States,3
USS_Liberty_incident,3
Third_Position,3
White_Americans,3
Bellamy_salute,3
Two_Hundred_Years_Together,3
Zweites_Buch,3
Volodymyr_Groysman,3
Crypto-Judaism,3
%C4%80ry%C4%81varta,3
Majority_minority,3
Indo-European_languages,2
Category:Semitic_peoples,2
Thirty_Years'_War,2
On_the_Jews_and_Their_Lies,2
Andrew_Breitbart,2
Kevin_Alfred_Strom,2
Hitler's_Table_Talk,2
Jacques_Derrida,2
How_to_Win_Friends_and_Influence_People,2
Human_Accomplishment,2
Noel_Ignatiev,2
Hurricane_Katrina,2
Minatogawa_Man,2
Biology_and_political_orientation,2
Interracial_marriage_in_the_United_States,2
Court_Jew,2
Monoamine_oxidase_A,2
2010_Haiti_earthquake,2
Germany_Must_Perish!,2
Noel_Ignatiev,2
List_of_countries_by_Nobel_laureates_per_capita,2
Emil_Maurice,2
List_of_search_engines,2
Paris_syndrome,2
Cuckoo,2
Streisand_effect,2
Brown_bear,2
Pale_of_Settlement,2
Muslim_conquests_of_the_Indian_subcontinent,2
List_of_development_aid_country_donors,2
Race_and_intelligence,2
Extermination_camp#Death_toll,2
Monoamine_oxidase_A#Aggression_and_the_.22Warrior_gene.22,2
National_liberalism,2
Stab-in-the-back_myth,2
Opal_(fuel),2
Demographics_of_Texas,2
Gothic_architecture,2
Flynn_effect.,2
www.wikipedia.org/wiki/Great_Books_of_the_Western_World,2
David_Reimer,2
