,count
en.wikipedia.org/wiki/Jewish_Internet_Defense_Force,15
en.wikipedia.org/wiki/Minnesota_Transracial_Adoption_Study,11
en.wikipedia.org/wiki/Naturalization_Act_of_1790,9
en.wikipedia.org/wiki/Hjernevask,9
en.wikipedia.org/wiki/List_of_countries_by_intentional_homicide_rate,7
en.wikipedia.org/wiki/Immigration_and_Nationality_Act_of_1965,7
en.wikipedia.org/wiki/Frankfurt_School,6
en.wikipedia.org/wiki/Haavara_Agreement,5
en.wikipedia.org/wiki/Category:Feminists_by_religion,5
en.wikipedia.org/wiki/Robert_D._Putnam,5
en.wikipedia.org/wiki/German_Revolution_of_1918%E2%80%9319,5
en.wikipedia.org/wiki/Robert_D._Putnam#Diversity_and_trust_within_communities,5
en.wikipedia.org/wiki/Ashkenazi_Jewish_intelligence,4
en.wikipedia.org/wiki/Heritability_of_IQ,4
en.wikipedia.org/wiki/Human_Development_Index,4
en.wikipedia.org/wiki/White_genocide_conspiracy_theory,4
en.wikipedia.org/wiki/List_of_black_Nobel_laureates,4
en.wikipedia.org/wiki/Samson_Option,4
en.wikipedia.org/wiki/Burr%E2%80%93Hamilton_duel,4
en.wikipedia.org/wiki/List_of_countries_ranked_by_ethnic_and_cultural_diversity_level,3
en.wikipedia.org/wiki/Human_Development_Index#2015_Human_Development_Report,3
en.wikipedia.org/wiki/Third_Position,3
en.wikipedia.org/wiki/Two_Hundred_Years_Together,3
en.wikipedia.org/wiki/White_Americans,3
en.wikipedia.org/wiki/%C4%80ry%C4%81varta,3
en.m.wikipedia.org/wiki/Samson_Option,3
en.wikipedia.org/wiki/Immigration_Act_of_1924,3
en.wikipedia.org/wiki/Volodymyr_Groysman,3
en.wikipedia.org/wiki/Bellamy_salute,3
en.wikipedia.org/wiki/Historical_racial_and_ethnic_demographics_of_the_United_States,3
en.wikipedia.org/wiki/Animal_welfare_in_Nazi_Germany,3
en.wikipedia.org/wiki/Majority_minority,3
en.wikipedia.org/wiki/Crypto-Judaism,3
